Name,Nufnu (erg cm^-2 s^-1),Frequency (Hz),Source Data,Reference,Coordinates Targeted,Comments,Warning/Info
TXS0506+056,4.3100E-11 +/- 0.0000E00,1.210E25,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2010ApJS..188..405A,Broad-band measurement,
TXS0506+056,5.4900E-11 +/- 0.0000E00,1.210E25,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012ApJS..199...31N,Broad-band measurement,
TXS0506+056,5.6000E-13 +/- 0.0000E00,3.020E17,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2009A&A...495..691M,Broad-band measurement,
TXS0506+056,2.9400E-12 +/- 0.0000E00,1.950E15,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012GASC..C...0000S,Broad-band measurement,
TXS0506+056,2.1700E-12 +/- 0.0000E00,1.950E15,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012GASC..C...0000S,Broad-band measurement,
TXS0506+056,2.0100E-11 +/- 0.0000E00,1.550E15,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012A&A...538A..26R,Broad-band measurement,
TXS0506+056,1.8300E-11 +/- 0.0000E00,1.360E15,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012A&A...538A..26R,Broad-band measurement,
TXS0506+056,4.8000E-12 +/- 0.0000E00,1.290E15,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012GASC..C...0000S,Broad-band measurement,
TXS0506+056,3.2700E-12 +/- 0.0000E00,1.290E15,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012GASC..C...0000S,Broad-band measurement,
TXS0506+056,2.2100E-11 +/- 0.0000E00,1.150E15,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012A&A...538A..26R,Broad-band measurement,
TXS0506+056,2.3500E-11 +/- 0.0000E00,8.690E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012A&A...538A..26R,Broad-band measurement,
TXS0506+056,2.6200E-11 +/- 0.0000E00,6.890E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012A&A...538A..26R,Broad-band measurement,
TXS0506+056,2.9300E-11 +/- 0.0000E00,6.410E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012A&A...538A..26R,Broad-band measurement,
TXS0506+056,2.4400E-11 +/- 0.0000E00,5.490E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012A&A...538A..26R,Broad-band measurement,
TXS0506+056,2.9300E-11 +/- 0.0000E00,4.870E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012A&A...538A..26R,Broad-band measurement,
TXS0506+056,1.2900E-11 +/- 0.0000E00,4.680E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2008ApJS..175...97H,Broad-band measurement,
TXS0506+056,2.8300E-11 +/- 0.0000E00,4.010E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012A&A...538A..26R,Broad-band measurement,
TXS0506+056,1.2300E-11 +/- 0.0000E00,3.880E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2010ApJ...712...14M,Broad-band measurement,
TXS0506+056,3.0200E-11 +/- 0.0000E00,3.370E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012A&A...538A..26R,Broad-band measurement,
TXS0506+056,3.1900E-11 +/- 0.0000E00,2.430E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2006AJ....131.1163S,Broad-band measurement,
TXS0506+056,3.1800E-11 +/- 0.0000E00,2.430E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2006AJ....131.1163S,Broad-band measurement,
TXS0506+056,2.5800E-11 +/- 0.0000E00,2.420E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012A&A...538A..26R,Broad-band measurement,
TXS0506+056,3.1400E-11 +/- 0.0000E00,2.400E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2005NewA...11...27C,Broad-band measurement,
TXS0506+056,3.2300E-11 +/- 0.0000E00,1.820E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2005NewA...11...27C,Broad-band measurement,
TXS0506+056,2.5900E-11 +/- 0.0000E00,1.810E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012A&A...538A..26R,Broad-band measurement,
TXS0506+056,3.2000E-11 +/- 0.0000E00,1.800E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2006AJ....131.1163S,Broad-band measurement,
TXS0506+056,3.2200E-11 +/- 0.0000E00,1.800E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2006AJ....131.1163S,Broad-band measurement,
TXS0506+056,2.6500E-11 +/- 0.0000E00,1.390E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2012A&A...538A..26R,Broad-band measurement,
TXS0506+056,3.4500E-11 +/- 0.0000E00,1.390E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2006AJ....131.1163S,Broad-band measurement,
TXS0506+056,3.4300E-11 +/- 0.0000E00,1.390E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2006AJ....131.1163S,Broad-band measurement,
TXS0506+056,3.4100E-11 +/- 0.0000E00,1.380E14,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2005NewA...11...27C,Broad-band measurement,
TXS0506+056,2.1100E-13 +/- 0.0000E00,4.300E10,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2010AJ....139.1695L,Broad-band measurement,
TXS0506+056,1.5600E-13 +/- 0.0000E00,2.400E10,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2010AJ....139.1695L,Broad-band measurement,
TXS0506+056,1.0300E-13 +/- 0.0000E00,2.200E10,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2007AJ....133.2487P,Broad-band measurement,
TXS0506+056,1.1700E-13 +/- 0.0000E00,2.200E10,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2007AJ....133.2487P,Broad-band measurement,
TXS0506+056,9.0000E-14 +/- 0.0000E00,1.500E10,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2011ApJ...742...27L,Broad-band measurement,
TXS0506+056,1.0000E-13 +/- 0.0000E00,1.500E10,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2011ApJ...741...30A,Broad-band measurement,
TXS0506+056,8.9600E-14 +/- 0.0000E00,1.500E10,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2011ApJS..194...29R,Broad-band measurement,
TXS0506+056,9.1500E-14 +/- 0.0000E00,1.500E10,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2011ApJ...741...30A,Broad-band measurement,
TXS0506+056,8.8500E-14 +/- 0.0000E00,1.500E10,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2011ApJ...742...27L,Broad-band measurement,
TXS0506+056,4.7300E-14 +/- 0.0000E00,8.600E09,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2003PASJ...55..351T,Broad-band measurement,
TXS0506+056,5.9000E-14 +/- 0.0000E00,8.400E09,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2007ApJS..171...61H,Broad-band measurement,
TXS0506+056,5.0000E-14 +/- 0.0000E00,5.000E09,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2004ApJ...616..110H,Broad-band measurement,
TXS0506+056,1.6500E-14 +/- 0.0000E00,5.000E09,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,2008ApJS..175..314D,Broad-band measurement,
TXS0506+056,2.1400E-14 +/- 0.0000E00,4.890E09,NED,<a href="http://nedwww.ipac.caltech.edu/cgi-bin/nph-ex_refcode?refcode="></a>,1997A&AS..122..235L,Broad-band measurement,
