Name,RA(hh mm ss.s),Dec(dd mm ss.s),RA(deg),Dec(deg),Nufnu (erg cm^-2 s^-1),Frequency (Hz),Source Data,Start Time <br/>(MJD),Stop Time <br/>(MJD),Start Time <br/>(YYYY-MM-DD hh:mm:ss UT),Stop Time <br/>(YYYY-MM-DD hh:mm:ss UT),Warning/Info
,05 09 28.39,+05 42 0.97,77.36830,5.70027,7.3258E-12+2.2986E-12/-2.2986E-12,2.420E23,DB,54682.7,54713.0,2008-08-04 16:48:00,2008-09-04 00:00:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,9.1498E-12+2.0316E-12/-2.0316E-12,2.420E23,DB,54713.0,54743.4,2008-09-04 00:00:00,2008-10-04 09:36:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,7.2071E-12+2.1058E-12/-2.1058E-12,2.420E23,DB,54743.4,54773.8,2008-10-04 09:36:00,2008-11-03 19:12:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,1.0633E-11+1.8982E-12/-1.8982E-12,2.420E23,DB,54773.8,54804.1,2008-11-03 19:12:00,2008-12-04 02:24:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,3.4849E-12+1.5126E-12/-1.5126E-12,2.420E23,DB,54804.1,54834.5,2008-12-04 02:24:00,2009-01-03 12:00:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,6.4805E-12 +/- 0.0000E00,2.420E23,DB,54834.5,54864.9,2009-01-03 12:00:00,2009-02-02 21:36:00,Upper Limit
,05 09 28.39,+05 42 0.97,77.36830,5.70027,5.9911E-12+1.7795E-12/-1.7795E-12,2.420E23,DB,54864.9,54895.2,2009-02-02 21:36:00,2009-03-05 04:48:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,5.5907E-12 +/- 0.0000E00,2.420E23,DB,54895.2,54925.6,2009-03-05 04:48:00,2009-04-04 14:24:00,Upper Limit
,05 09 28.39,+05 42 0.97,77.36830,5.70027,5.7983E-12+1.4978E-12/-1.4978E-12,2.420E23,DB,54925.6,54956.0,2009-04-04 14:24:00,2009-05-05 00:00:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,1.1923E-11+2.3727E-12/-2.3727E-12,2.420E23,DB,54956.0,54986.4,2009-05-05 00:00:00,2009-06-04 09:36:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,1.0559E-11+1.9278E-12/-1.9278E-12,2.420E23,DB,54986.4,55016.7,2009-06-04 09:36:00,2009-07-04 16:48:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,1.1078E-11+2.4024E-12/-2.4024E-12,2.420E23,DB,55016.7,55047.1,2009-07-04 16:48:00,2009-08-04 02:24:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,5.9615E-12+2.1355E-12/-2.1355E-12,2.420E23,DB,55047.1,55077.5,2009-08-04 02:24:00,2009-09-03 12:00:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,1.4414E-11+2.7731E-12/-2.7731E-12,2.420E23,DB,55077.5,55107.8,2009-09-03 12:00:00,2009-10-03 19:12:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,1.1715E-11+2.7583E-12/-2.7583E-12,2.420E23,DB,55107.8,55138.2,2009-10-03 19:12:00,2009-11-03 04:48:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,8.8532E-12+2.5210E-12/-2.5210E-12,2.420E23,DB,55138.2,55168.6,2009-11-03 04:48:00,2009-12-03 14:24:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,9.5354E-12+2.8176E-12/-2.8176E-12,2.420E23,DB,55168.6,55198.9,2009-12-03 14:24:00,2010-01-02 21:36:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,8.0227E-12+2.1651E-12/-2.1651E-12,2.420E23,DB,55198.9,55229.3,2010-01-02 21:36:00,2010-02-02 07:12:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,5.5611E-12+2.3282E-12/-2.3282E-12,2.420E23,DB,55229.3,55259.7,2010-02-02 07:12:00,2010-03-04 16:48:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,1.2842E-11+2.6990E-12/-2.6990E-12,2.420E23,DB,55259.7,55290.1,2010-03-04 16:48:00,2010-04-04 02:24:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,5.0420E-12+2.0910E-12/-2.0910E-12,2.420E23,DB,55290.1,55320.4,2010-04-04 02:24:00,2010-05-04 09:36:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,1.1330E-11+2.4765E-12/-2.4765E-12,2.420E23,DB,55320.4,55350.8,2010-05-04 09:36:00,2010-06-03 19:12:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,6.6881E-12+2.2986E-12/-2.2986E-12,2.420E23,DB,55350.8,55381.2,2010-06-03 19:12:00,2010-07-04 04:48:00,
,05 09 28.39,+05 42 0.97,77.36830,5.70027,1.3969E-11+3.0252E-12/-3.0252E-12,2.420E23,DB,55381.2,55409.0,2010-07-04 04:48:00,2010-08-01 00:00:00,
